"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Slit2",5196.39925629407,-0.39538827432231,0.56742247479241,-0.696814616775554,0.485918817443486,0.849291194217397
"Sox2",6255.46275912191,-0.271297231973327,0.582277967564185,-0.465923917932583,0.641269960253346,0.901790355290197
"Spag17",4322.52436921141,-0.218588349173865,0.56976394647399,-0.383647211317263,0.701239943137772,0.903783133155335
"Sphkap",9772.25132536919,-0.849603537463541,0.489709713645883,-1.73491256919993,0.0827562924992059,0.424610950460675
"Spta1",11492.6252911548,-0.681508729824933,0.62353538983709,-1.0929752199037,0.274404679881049,0.694695392103922
"Syne1",7415.13459132746,-0.919229656122411,0.681991457324299,-1.34786095375576,0.177703108692562,0.573235834492137
"Syne2",9777.71547883765,-0.339678531283544,0.62338392864497,-0.544894591719573,0.585826016125556,0.891300677446295
"Tenm1",8894.82614155988,-0.2610221137241,0.591325858524479,-0.441418398944064,0.65891012469692,0.903129306756752
"Tet1",9971.7643948177,0.429129656733012,0.52368872272203,0.81943650514848,0.412537414422459,0.81414003094493
"Thsd7a",8062.15116689998,0.762068676031267,0.618395212334725,1.23233275554335,0.217824808757175,0.640661202226987
"Tnni3k",10593.7744889366,0.82705597186114,0.659395300441418,1.25426428017835,0.209745962553508,0.626107350905993
"Tnxb",6957.06157767319,-0.806448561076624,0.538510382586458,-1.49755434092703,0.134249077107944,0.46292785209636
"Tpcn2",6655.33874779442,-0.18769174419054,0.450576738479474,-0.416558885893508,0.677001087248602,0.903129306756752
"Trp53",44800.7727334615,-0.140878813543387,0.493011941934837,-0.285751320729687,0.775068594504971,0.921504857958568
"Trp63",452.277205461096,-0.409083259173571,1.03931564893332,-0.393608293681928,0.69387025707019,0.903783133155335
"Ttn",4932.30630432921,0.10867160042134,0.545248618287554,0.199306512252413,0.842022985326627,0.921504857958568
"Unc13c",8444.18679818817,-0.990198318844721,0.591576052538348,-1.67383097168311,0.0941638235476527,0.426451286756737
"Ush2a",4372.61523373765,1.00505825475709,0.571938392097658,1.75728412123359,0.0788693929475974,0.424610950460675
"Vcan",8616.11049559945,-0.743271814773774,0.592225064593601,-1.25504957356681,0.209460764446455,0.626107350905993
"Vps13b",3324.19726663876,0.362394554702293,0.609068979855596,0.59499755641506,0.551845104383569,0.891300677446295
"Xirp2",10259.3925868728,0.488174909771212,0.623235126293873,0.783291713151969,0.4334558284081,0.825630149348763
"Zfhx4",3851.00499590269,0.142071012833243,0.585760119011715,0.242541286479085,0.808360769663146,0.921504857958568
"Zfp469",7883.35172693389,0.203859664108434,0.636121457184719,0.320472862227687,0.748609899247666,0.921504857958568
"Zfp78",6549.19139531999,-0.443826401576998,0.498372121841044,-0.890552224184315,0.373169439515659,0.790184635088893
"Zfp804b",4739.19709210892,-0.200059984232255,0.535322925720787,-0.373718319578569,0.708613894285078,0.903783133155335
"Zfp831",10601.0647209822,-0.9481093277513,0.531989589767698,-1.78219526469551,0.074717394747049,0.424610950460675
"Zmat3",6440.70865695406,-0.143205033754768,0.55292272505985,-0.258996469604801,0.795637964430088,0.921504857958568
